,agency_id,line_id,number_of_trips_today,agency_popularity
483,4,10124,4,37
484,4,10465,4,37
485,4,11409,4,37
486,4,12252,4,37
487,4,16464,4,37
488,4,11467,4,37
489,4,49022,4,37
490,4,32043,4,37
491,4,13411,4,37
492,4,11135,3,38
493,4,32056,3,38
494,4,10440,3,38
495,4,16049,2,39
496,4,15147,2,39
497,4,11943,2,39
498,4,12372,2,39
499,4,12256,2,39
500,4,10120,1,40
501,4,10122,1,40
502,4,10130,1,40
503,4,14126,1,40
504,4,14475,1,40
505,4,29059,1,40
506,4,31057,1,40
507,4,30052,1,40
508,5,27004,217,1
509,5,81001,193,2
510,5,25005,165,3
511,5,16061,149,4
512,5,17063,144,5
513,5,22018,126,6
514,5,15066,123,7
515,5,13067,117,8
516,5,15025,113,9
517,5,19016,109,10
518,5,12172,108,11
519,5,12125,100,12
520,5,18010,90,13
521,5,15051,90,13
522,5,18019,89,14
523,5,16040,83,15
524,5,17043,83,15
525,5,17009,81,16
526,5,17031,81,16
527,5,13104,80,17
528,5,40044,79,18
529,5,21007,77,19
530,5,29082,77,19
531,5,12161,77,19
532,5,35002,75,20
533,5,15060,75,20
534,5,55008,74,21
535,5,11900,71,22
536,5,19072,71,22
537,5,12142,71,22
538,5,10240,71,22
539,5,42053,71,22
540,5,15042,69,23
541,5,11160,69,23
542,5,10189,67,24
543,5,28003,66,25
544,5,17033,66,25
545,5,22089,66,25
546,5,21017,64,26
547,5,17023,64,26
548,5,10129,64,26
549,5,33062,64,26
550,5,13039,63,27
551,5,10292,61,28
552,5,14041,60,29
553,5,34046,60,29
554,5,26005,58,30
555,5,20070,58,30
556,5,11289,58,30
557,5,24092,55,31
558,5,53073,55,31
559,5,62003,55,31
560,5,15052,53,32
561,5,99002,53,32
562,5,24006,52,33
563,5,18057,52,33
564,5,14065,52,33
565,5,23006,48,34
566,5,16054,48,34
567,5,14267,47,35
568,5,94004,47,35
569,5,22007,46,36
570,5,17034,42,37
571,5,14045,42,37
572,5,13166,42,37
573,5,11266,42,37
574,5,82011,42,37
575,5,12238,41,38
576,5,15058,40,39
577,5,13138,40,39
578,5,55009,40,39
579,5,39017,39,40
580,5,40028,38,41
581,5,21014,37,42
582,5,23018,34,43
583,5,21008,32,44
584,5,10140,14,45
585,6,46001,100,1
586,6,23007,85,2
587,6,20020,82,3
588,6,18009,68,4
589,6,27005,65,5
590,6,26046,62,6
591,6,32032,62,6
592,6,23015,61,7
593,6,33059,61,7
594,6,22008,60,8
595,6,25006,58,9
596,6,20016,58,9
597,6,30050,56,10
598,6,19019,56,10
599,6,24042,55,11
600,6,36002,53,12
601,6,27036,52,13
602,6,30003,51,14
603,6,26034,46,15
604,6,29004,46,15
605,6,28068,43,16
606,6,37056,42,17
607,6,31052,41,18
608,6,33053,41,18
609,6,42054,40,19
610,6,38063,39,20
611,6,29057,38,21
612,6,29043,32,22
613,6,37023,32,22
614,6,14037,30,23
615,6,38047,30,23
616,6,24065,29,24
617,6,33039,28,25
618,6,16064,27,26
619,6,29049,27,26
620,6,24018,25,27
621,6,32040,25,27
622,6,19010,24,28
623,6,21022,24,28
624,6,22014,22,29
625,6,26011,20,30
626,6,44055,19,31
627,6,22017,17,32
628,6,23021,16,33
629,6,33061,16,33
630,6,27071,13,34
631,6,33070,11,35
632,6,30044,10,36
633,6,24012,7,37
634,6,28069,7,37
635,6,45087,4,38
636,6,37091,3,39
637,6,30092,2,40
638,6,56081,2,40
639,6,29088,2,40
640,7,10332,98,1
641,7,38002,90,2
642,7,74005,90,2
643,7,22013,76,3
644,7,49001,68,4
645,7,60007,60,5
646,7,31004,45,6
647,7,32003,45,6
648,7,19028,41,7
649,7,10342,38,8
650,7,57006,38,8
651,7,16058,36,9
652,7,18030,31,10
653,7,15050,31,10
654,7,11296,20,11
655,7,25012,19,12
656,7,11431,18,13
657,7,23292,18,13
658,7,15150,18,13
659,7,19049,16,14
660,7,16353,16,14
661,7,11833,12,15
662,7,12750,12,15
663,7,21352,12,15
664,7,13178,12,15
665,7,17051,10,16
666,7,17061,10,16
667,7,10340,10,16
668,7,16029,8,17
669,7,15059,8,17
670,7,16060,8,17
671,7,47014,8,17
672,7,16380,8,17
673,7,19320,8,17
674,7,13488,8,17
675,7,13325,8,17
676,7,12720,8,17
677,7,20185,8,17
678,7,17240,8,17
679,7,29081,7,18
680,7,33072,7,18
681,7,11365,6,19
682,7,15065,6,19
683,7,35074,6,19
684,7,17180,6,19
685,7,10828,6,19
686,7,17052,4,20
687,7,18062,4,20
688,7,40073,4,20
689,7,29071,4,20
690,7,42091,4,20
691,7,38075,4,20
692,7,60082,4,20
693,7,59080,4,20
694,7,32076,4,20
695,7,48085,4,20
696,7,51084,4,20
697,7,13280,4,20
698,7,11440,4,20
699,7,13309,4,20
700,7,14310,4,20
701,7,16327,3,21
702,7,28083,2,22
703,7,11299,2,22
704,7,11553,2,22
705,7,10297,2,22
706,7,11290,2,22
